rank,company,cik,ticker,sic,state_location,state_of_incorporation,revenues,profits
1,Wal-Mart Stores,104169,WMT,5331,AR,DE,421849,16389
2,Exxon Mobil,34088,XOM,2911,TX,NJ,354674,30460
3,Chevron,93410,CVX,2911,CA,DE,196337,19024
4,ConocoPhillips,1163165,COP,2911,TX,DE,184966,11358
5,Fannie Mae,310522,FNM,6111,DC,DC,153825,-14014
6,General Electric,40545,GE,3600,CT,NY,151628,11644
7,Berkshire Hathaway,1067983,BRKA,6331,NE,DE,136185,12967
8,General Motors,1467858,GM,3711,MI,MI,135592,6172
9,Bank of America Corp.,70858,BAC,6021,NC,DE,134194,-2238
10,Ford Motor,37996,F,3711,MI,DE,128954,6561
11,Hewlett-Packard,47217,HPQ,3570,CA,DE,126033,8761
12,AT&T,732717,T,4813,TX,DE,124629,19864
13,J.P. Morgan Chase & Co.,19617,JPM,6021,NY,DE,115475,17370
14,Citigroup,831001,C,6021,NY,DE,111055,10602
15,McKesson,927653,MCK,5122,CA,DE,108702,1263
16,Verizon Communications,732712,VZ,4813,NY,DE,106565,2549
17,American International Group,5272,AIG,6331,NY,DE,104417,7786
18,International Business Machines,51143,IBM,3570,NY,NY,99870,14833
19,Cardinal Health,721371,CAH,5122,OH,OH,98601.9,642.2
20,Freddie Mac,37785,FMC,2800,PA,DE,98368,-14025
21,CVS Caremark,64803,CVS,5912,RI,DE,96413,3427
22,UnitedHealth Group,731766,UNH,6324,MN,MN,94155,4634
23,Wells Fargo,72971,WFC,6021,CA,DE,93249,12362
24,Valero Energy,1035002,VLO,2911,TX,DE,86034,324
25,Kroger,56873,KR,5411,OH,OH,82189.4,1116.3
26,Procter & Gamble,80424,PG,2840,OH,OH,79689,12736
27,AmerisourceBergen,1140859,ABC,5122,PA,DE,77954,636.7
28,Costco Wholesale,909832,COST,5331,WA,WA,77946,1303
29,Marathon Oil,101778,MRO,2911,TX,DE,68413,2568
30,Home Depot,354950,HD,5211,GA,DE,67997,3338
31,Pfizer,78003,PFE,2834,NY,DE,67809,8257
32,Walgreen,104207,WAG,5912,IL,IL,67420,2091
33,Target,27419,TGT,5331,MN,MN,67390,2920
34,Medco Health Solutions,1170650,MHS,5912,NJ,DE,65968.3,1427.3
35,Apple,320193,AAPL,3571,CA,CA,65225,14013
36,Boeing,12927,BA,3721,WA,DE,64306,3307
37,State Farm Insurance Cos.,,PRIVATE,,,,63176.7,1762.8
38,Microsoft,789019,MSFT,7372,WA,WA,62484,18760
39,Archer Daniels Midland,7084,ADM,2070,IL,DE,61682,1930
40,Johnson & Johnson,200406,JNJ,2834,NJ,NJ,61587,13334
41,Dell,826083,DELL,3571,TX,DE,61494,2635
42,WellPoint,1156039,WLP,6324,IN,IN,58801.8,2887.1
43,PepsiCo,77476,PEP,2080,NY,NC,57838,6320
44,United Technologies,101829,UTX,3724,CT,DE,54326,4373
45,Dow Chemical,29915,DOW,2821,MI,DE,53674,2310
46,MetLife,1099219,MET,6311,NY,DE,52717,2790
47,Best Buy,764478,BBY,5731,MN,MN,49694,1317
48,United Parcel Service,1090727,UPS,4210,GA,DE,49545,3488
49,Kraft Foods,1103982,KFT,2000,IL,VA,49542,4114
50,Lowe's,60667,LOW,5211,NC,NC,48815,2010
51,INTL FCStone,913760,INTL,6211,NY,DE,46940.3,5.4
52,Lockheed Martin,936468,LMT,3760,MD,MD,46890,2926
53,Merck,842633,TRS,3460,MI,DE,45987,861
54,Goldman Sachs Group,886982,GS,6211,NY,DE,45967,8354
55,Express Scripts,885721,ESRX,5912,MO,DE,44989.7,1181.2
56,Intel,50863,INTC,3674,CA,DE,43623,11464
57,Sears Holdings,1310067,SHLD,5311,IL,DE,43326,133
58,Caterpillar,18230,CAT,3531,IL,DE,42588,2700
59,Chrysler Group,831001,C,6021,NY,DE,41946,-652
60,Safeway,86144,SWY,5411,CA,DE,41050,589.8
61,Supervalu,95521,SVU,5411,MN,DE,40597,393
62,Cisco Systems,1159510,CS,6211,NY,NY,40040,7767
63,Morgan Stanley,895421,MS,6211,NY,DE,39320,4703
64,Prudential Financial,1137774,PRU,6311,NJ,NJ,38414,3195
65,Walt Disney,1001039,DIS,7990,CA,DE,38063,3963
66,Comcast,1166691,CMCSK,4841,PA,PA,37937,3635
67,Sysco,96021,SYY,5140,TX,DE,37243.5,1180
68,Sunoco,95304,SUN,2911,PA,PA,35453,234
69,Abbott Laboratories,1800,ABT,2834,IL,IL,35166.7,4626.2
70,Coca-Cola,21344,KO,2080,GA,DE,35119,11809
71,New York Life Insurance,71691,NYT,2711,NY,NY,34947.2,1091.5
72,Northrop Grumman,1133421,NOC,3812,VA,DE,34757,2053
73,FedEx,1048911,FDX,4513,TN,DE,34734,1184
74,Hess,4447,HES,2911,NY,DE,34613,2125
75,Ingram Micro,1018003,IM,5045,CA,DE,34589,318.1
76,Johnson Controls,53669,JCI,2531,WI,WI,34305,1491
77,Aetna,1122304,AET,6324,CT,PA,34246,1766.8
78,Amazon.com,1018724,AMZN,5961,WA,DE,34204,1152
79,Humana,49071,HUM,6324,KY,DE,33868.2,1099.4
80,Enterprise Products Partners,1061219,EPD,4922,TX,DE,33739.3,320.8
81,Honeywell International,773840,HON,3714,NJ,DE,33370,2022
82,Liberty Mutual Insurance Group,1157646,LMG,6189,NY,DE,33193,1678
83,News Corp.,1308161,NWSA,2711,NY,,32778,2539
84,DuPont,30554,DD,2820,DE,DE,32733,3031
85,Sprint Nextel,101830,S,4813,KS,KS,32563,-3465
86,General Dynamics,40533,GD,3730,VA,DE,32466,2624
87,TIAA-CREF,1377013,TIC,1000,NY,DE,32224.9,1405.9
88,Delta Air Lines,27904,DAL,4512,GA,DE,31755,593
89,Allstate,899051,ALL,6331,IL,DE,31400,928
90,HCA Holdings,860730,HCA,8062,TN,TN,30683,1207
91,American Express,4962,AXP,6199,NY,NY,30242,4057
92,Google,1288776,GOOG,7370,CA,DE,29321,8505
93,Tyson Foods,100493,TSN,2015,AR,DE,28430,780
94,Philip Morris International,1413329,PM,2111,NY,VA,27208,7259
95,Time Warner,866213,TMX,4812,NM,AZ,26888,2578
96,Oracle,1341439,ORCL,7372,CA,CA,26820,6135
97,3M,66740,MMM,3841,MN,DE,26662,4085
98,Deere,315189,DE,3523,IL,DE,26004.6,1865
99,Plains All American Pipeline,1113256,PAP,3714,MI,IN,25893,505
100,Rite Aid,84129,RAD,5912,PA,DE,25669.1,-506.7
101,Massachusetts Mutual Life Insurance,,PRIVATE,,,,25647.1,258.2
102,Publix Super Markets,1063089,PUSH,7373,NY,NY,25328.1,1338.1
103,CHS,897429,CHS,5621,FL,FL,25267.9,502.2
104,Raytheon,1047122,RTN,3812,MA,DE,25183,1840
105,International Paper,51434,IP,2621,TN,NY,25179,644
106,Travelers Cos.,86312,TRV,6331,MN,MN,25112,3216
107,Macy's,794367,M,5311,OH,DE,25003,847
108,Staples,791519,SPLS,5940,MA,DE,24545.1,881.9
109,Tech Data,790703,TECD,5045,FL,FL,24376,214.2
110,DirecTV,1465112,DTV,4899,CA,DE,24102,2198
111,McDonald's,63908,MCD,5812,IL,DE,24074.6,4946.3
112,Northwestern Mutual,,PRIVATE,,,,23384.3,756.3
113,Murphy Oil,717423,MUR,2911,AR,DE,23345.1,798.1
114,United Continental Holdings,100517,UAL,4512,IL,DE,23229,253
115,Eli Lilly,59478,LLY,2834,IN,IN,23076,5069.5
116,Motorola Solutions,914713,MLS,6798,VA,DE,22823,633
117,Hartford Financial Services,874766,HIG,6331,CT,DE,22383,1680
118,AMR,6201,AMR,4512,TX,DE,22170,-471
119,TJX,109198,TJX,5651,MA,DE,21942.2,1343.1
120,Emerson Electric,31978,EE,4911,TX,TX,21866,2164
121,Xerox,108772,XRX,3577,CT,NY,21633,606
122,Cigna,701221,CI,6324,CT,DE,21253,1345
123,Alcoa,929994,ALC,8050,WI,NV,21013,254
124,Fluor,1124198,FLR,1600,TX,DE,20849.3,357.5
125,Aflac,4977,AFL,6321,GA,GA,20732,2344
126,U.S. Bancorp,36104,USB,6021,MN,DE,20518,3317
